,model,tmscore
0,af3_jian_0,86.748
1,af3_jian_1,86.748
2,af3_jian_2,86.748
3,af3_jian_3,86.748
4,af3_jian_4,86.654
5,af3_jian_5,86.748
6,af3_jian_6,86.56
7,af3_jian_7,86.654
8,af3_jian_8,86.936
9,af3_jian_9,86.748
10,af3_pawan_0,87.03
11,af3_pawan_1,86.654
12,af3_pawan_2,86.936
13,af3_pawan_3,86.748
14,af3_pawan_4,86.842
15,af3_pawan_5,86.842
16,af3_pawan_6,86.842
17,af3_pawan_7,86.56
18,af3_pawan_8,87.03
19,af3_pawan_9,86.842
20,colabfold_web_0,87.03
21,colabfold_web_1,86.936
22,colabfold_web_2,86.936
23,colabfold_web_3,86.936
24,colabfold_web_4,87.03
25,colabfold_web_not_0,87.03
26,colabfold_web_not_1,87.03
27,colabfold_web_not_2,87.03
28,colabfold_web_not_3,86.842
29,colabfold_web_not_4,87.218
30,deepmsa_dMSA_0,86.842
31,deepmsa_dMSA_1,86.842
32,deepmsa_dMSA_2,86.748
33,deepmsa_dMSA_3,86.842
34,deepmsa_dMSA_4,86.842
35,deepmsa_dMSA_hhb_0,86.842
36,deepmsa_dMSA_hhb_1,86.748
37,deepmsa_dMSA_hhb_2,86.936
38,deepmsa_dMSA_hhb_3,86.842
39,deepmsa_dMSA_hhb_4,86.654
40,deepmsa_qMSA_0,87.406
41,deepmsa_qMSA_1,87.312
42,deepmsa_qMSA_2,87.594
43,deepmsa_qMSA_3,87.5
44,deepmsa_qMSA_4,87.312
45,deepmsa_qMSA_hhb_0,86.748
46,deepmsa_qMSA_hhb_1,87.406
47,deepmsa_qMSA_hhb_2,87.124
48,deepmsa_qMSA_hhb_3,87.218
49,deepmsa_qMSA_hhb_4,87.218
50,def_drop_nos_0,87.124
51,def_drop_nos_1,87.03
52,def_drop_nos_2,87.312
53,def_drop_nos_3,87.218
54,def_drop_nos_4,87.124
55,def_drop_s_0,87.218
56,def_drop_s_1,87.312
57,def_drop_s_2,87.312
58,def_drop_s_3,87.406
59,def_drop_s_4,87.124
60,def_esm_msa_0,87.03
61,def_esm_msa_1,87.312
62,def_esm_msa_2,87.124
63,def_esm_msa_3,87.406
64,def_esm_msa_4,87.03
65,def_esm_msa_ckpt5_0,86.842
66,def_esm_msa_ckpt5_1,87.124
67,def_esm_msa_ckpt5_2,86.936
68,def_esm_msa_ckpt5_3,87.218
69,def_esm_msa_ckpt5_4,87.124
70,def_notemp_0,86.842
71,def_notemp_1,86.842
72,def_notemp_2,86.936
73,def_notemp_3,87.03
74,def_notemp_4,87.124
75,def_notemp_drop_nos_0,86.842
76,def_notemp_drop_nos_1,87.03
77,def_notemp_drop_nos_2,86.842
78,def_notemp_drop_nos_3,86.936
79,def_notemp_drop_nos_4,87.03
80,def_notemp_drop_s_0,87.124
81,def_notemp_drop_s_1,86.842
82,def_notemp_drop_s_2,87.312
83,def_notemp_drop_s_3,86.936
84,def_notemp_drop_s_4,87.124
85,def_ptm_drop_nos_0,86.936
86,def_ptm_drop_nos_1,87.124
87,def_ptm_drop_nos_2,87.03
88,def_ptm_drop_nos_3,87.218
89,def_ptm_drop_nos_4,87.218
90,def_ptm_drop_s_0,87.124
91,def_ptm_drop_s_1,86.936
92,def_ptm_drop_s_2,87.03
93,def_ptm_drop_s_3,87.312
94,def_ptm_drop_s_4,87.124
95,def_ptm_not_drop_nos_0,87.312
96,def_ptm_not_drop_nos_1,87.594
97,def_ptm_not_drop_nos_2,87.312
98,def_ptm_not_drop_nos_3,87.312
99,def_ptm_not_drop_nos_4,87.312
100,def_ptm_not_drop_s_0,87.688
101,def_ptm_not_drop_s_1,87.124
102,def_ptm_not_drop_s_2,87.594
103,def_ptm_not_drop_s_3,87.406
104,def_ptm_not_drop_s_4,87.218
105,def_ptm_notemp_0,87.124
106,def_ptm_notemp_1,87.312
107,def_ptm_notemp_2,86.936
108,def_ptm_notemp_3,87.218
109,def_ptm_notemp_4,87.312
110,default_0,87.124
111,default_1,87.312
112,default_2,87.312
113,default_3,87.218
114,default_4,87.312
115,default_pdb70_new_0,86.842
116,default_pdb70_new_1,87.03
117,default_pdb70_new_2,86.748
118,default_pdb70_new_3,86.842
119,default_pdb70_new_4,87.03
120,default_ptm_0,87.124
121,default_ptm_1,86.936
122,default_ptm_2,87.218
123,default_ptm_3,86.936
124,default_ptm_4,86.936
125,default_seq_temp_0,87.03
126,default_seq_temp_1,86.936
127,default_seq_temp_2,87.03
128,default_seq_temp_3,86.936
129,default_seq_temp_4,86.936
130,dhr_0,87.312
131,dhr_1,87.5
132,dhr_2,87.406
133,dhr_3,87.594
134,dhr_4,87.5
135,ori_seq_temp_0,86.936
136,ori_seq_temp_1,87.03
137,ori_seq_temp_2,87.124
138,ori_seq_temp_3,87.124
139,ori_seq_temp_4,87.03
140,original_0,86.842
141,original_1,86.936
142,original_2,86.936
143,original_3,86.936
144,original_4,87.03
