,model,tmscore
0,af3_jian_0,0.9901
1,af3_jian_1,0.9879
2,af3_jian_2,0.9876
3,af3_jian_3,0.987
4,af3_jian_4,0.9894
5,af3_jian_5,0.9902
6,af3_jian_6,0.9885
7,af3_jian_7,0.9883
8,af3_jian_8,0.9887
9,af3_jian_9,0.9893
10,af3_pawan_0,0.9865
11,af3_pawan_1,0.986
12,af3_pawan_2,0.9893
13,af3_pawan_3,0.9878
14,af3_pawan_4,0.9889
15,af3_pawan_5,0.9884
16,af3_pawan_6,0.9877
17,af3_pawan_7,0.9889
18,af3_pawan_8,0.988
19,af3_pawan_9,0.9891
20,colabfold_web_0,0.9887
21,colabfold_web_1,0.9889
22,colabfold_web_2,0.9886
23,colabfold_web_3,0.9884
24,colabfold_web_4,0.9886
25,colabfold_web_not_0,0.9888
26,colabfold_web_not_1,0.9879
27,colabfold_web_not_2,0.9886
28,colabfold_web_not_3,0.9889
29,colabfold_web_not_4,0.9891
30,deepmsa_DeepJGI_0,0.9854
31,deepmsa_DeepJGI_1,0.9854
32,deepmsa_DeepJGI_2,0.9848
33,deepmsa_DeepJGI_3,0.9851
34,deepmsa_DeepJGI_4,0.9854
35,deepmsa_DeepJGI_hms_0,0.9831
36,deepmsa_DeepJGI_hms_1,0.9854
37,deepmsa_DeepJGI_hms_2,0.9852
38,deepmsa_DeepJGI_hms_3,0.9847
39,deepmsa_DeepJGI_hms_4,0.9844
40,deepmsa_dMSA_0,0.9851
41,deepmsa_dMSA_1,0.9858
42,deepmsa_dMSA_2,0.9846
43,deepmsa_dMSA_3,0.9849
44,deepmsa_dMSA_4,0.9854
45,deepmsa_dMSA_hhb_0,0.9756
46,deepmsa_dMSA_hhb_1,0.9745
47,deepmsa_dMSA_hhb_2,0.975
48,deepmsa_dMSA_hhb_3,0.9741
49,deepmsa_dMSA_hhb_4,0.9749
50,deepmsa_dMSA_hms_0,0.9853
51,deepmsa_dMSA_hms_1,0.9846
52,deepmsa_dMSA_hms_2,0.9853
53,deepmsa_dMSA_hms_3,0.9855
54,deepmsa_dMSA_hms_4,0.985
55,deepmsa_dMSA_jac_0,0.9849
56,deepmsa_dMSA_jac_1,0.984
57,deepmsa_dMSA_jac_2,0.9828
58,deepmsa_dMSA_jac_3,0.9847
59,deepmsa_dMSA_jac_4,0.9844
60,deepmsa_q3JGI_0,0.9758
61,deepmsa_q3JGI_1,0.9799
62,deepmsa_q3JGI_2,0.9785
63,deepmsa_q3JGI_3,0.9797
64,deepmsa_q3JGI_4,0.9792
65,deepmsa_q3JGI_hms_0,0.9798
66,deepmsa_q3JGI_hms_1,0.9792
67,deepmsa_q3JGI_hms_2,0.9798
68,deepmsa_q3JGI_hms_3,0.9799
69,deepmsa_q3JGI_hms_4,0.9789
70,deepmsa_q4JGI_0,0.9774
71,deepmsa_q4JGI_1,0.9774
72,deepmsa_q4JGI_2,0.9771
73,deepmsa_q4JGI_3,0.9793
74,deepmsa_q4JGI_4,0.9799
75,deepmsa_qMSA_0,0.9802
76,deepmsa_qMSA_1,0.9785
77,deepmsa_qMSA_2,0.9788
