,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,def_notemp_0,0.86294436,0.8390608040201006,0.8682175879396986,0.7388807939698492,0.790964824120603,0.811,0.8453254699707031,0.718955,0.530578,0.577696,0.8874012458324432
1,def_notemp_1,0.8614767,0.8672381909547738,0.8858954773869347,0.7604803467336682,0.813894472361809,0.8247,0.8300527930259705,0.718372,0.505114,0.532832,0.8907723534107207
2,def_notemp_2,0.8525627,0.7946829145728644,0.8119522613065326,0.6851349447236181,0.7289798994974874,0.8076,0.8257222175598145,0.65576,0.493389,0.531905,0.8724105668067932
3,def_notemp_3,0.850555,0.8668276381909547,0.8851758793969848,0.7546582663316583,0.807457286432161,0.793,0.8187302947044373,0.718334,0.507937,0.529852,0.8868697798252105
4,def_notemp_4,0.8459873,0.8300718592964824,0.8625316582914573,0.7262564924623115,0.7777035175879398,0.7715,0.8211895227432251,0.706287,0.524922,0.568239,0.8827586686611177
5,deepmsa_qMSA_jac_0,0.8835894,0.8583160804020102,0.8810412060301508,0.7628464472361809,0.80935175879397,0.8403,0.8337406516075134,0.711264,0.502528,0.524076,0.8900529313087464
6,deepmsa_qMSA_jac_1,0.873776,0.8612070351758794,0.8829447236180904,0.7655004120603013,0.8127939698492465,0.825,0.8168287873268127,0.717082,0.50654,0.530661,0.8881624853610992
7,deepmsa_qMSA_jac_2,0.8672183,0.8606115577889448,0.8829110552763819,0.7668565577889447,0.8124120603015076,0.8115,0.8136115074157715,0.715136,0.505456,0.528591,0.8877114534378052
8,deepmsa_qMSA_jac_3,0.8548337,0.791219095477387,0.8086959798994975,0.6838560854271356,0.7288291457286432,0.818,0.8275046348571777,0.655342,0.496925,0.526305,0.8733150160312653
9,deepmsa_qMSA_jac_4,0.852931,0.8668879396984925,0.8861623115577889,0.7605069246231156,0.8127738693467338,0.793,0.8218353986740112,0.721601,0.509684,0.539438,0.8875928211212158
10,def_ptm_drop_s_0,0.5626493,0.2308447236180904,0.2543331658291458,0.35787354773869345,0.29435175879396985,0.5728,0.5779935717582704,0.347957,0.471692,0.496643,0.6858237946033479
11,def_ptm_drop_s_1,0.53332186,0.32484522613065325,0.3494683417085427,0.40184065829145726,0.32528140703517583,0.5537,0.5597611665725708,0.365162,0.422654,0.436997,0.6874732732772826
12,def_ptm_drop_s_2,0.5296169,0.5726502512562814,0.6596442211055277,0.5130149145728643,0.5208492462311558,0.5806,0.4748885929584503,0.521241,0.491197,0.52399,0.8168703567981719
13,def_ptm_drop_s_3,0.52093107,0.4943969849246231,0.5536738693467337,0.46520192964824125,0.44940201005025127,0.5356,0.4123121500015259,0.476236,0.479172,0.513342,0.7908491826057433
14,def_ptm_drop_s_4,0.5206888,0.2891969849246231,0.3308000000000001,0.3999297889447236,0.32985929648241213,0.575,0.5629951357841492,0.365108,0.423875,0.429197,0.6727109515666962
15,ori_seq_temp_0,0.8920007,0.8529582914572863,0.8783115577889447,0.7643506834170852,0.8104874371859296,0.853,0.8467320203781128,0.708154,0.502273,0.533984,0.8903744781017302
16,ori_seq_temp_1,0.882576,0.8646185929648241,0.884951256281407,0.7729277135678393,0.8204170854271355,0.8433,0.8403211236000061,0.71873,0.503094,0.531016,0.8901215863227845
17,ori_seq_temp_2,0.8710986,0.8549894472361809,0.8796733668341707,0.7575015979899498,0.8062663316582914,0.8223,0.8338659405708313,0.710858,0.505515,0.536152,0.8888572609424591
18,ori_seq_temp_3,0.8676169,0.8683989949748744,0.88773216080402,0.7587471809045226,0.8114120603015076,0.826,0.8279977440834045,0.720829,0.503006,0.532628,0.8900733304023744
19,ori_seq_temp_4,0.86690986,0.8576155778894473,0.8815236180904523,0.766144653266332,0.8133668341708543,0.814,0.8311988711357117,0.712471,0.503073,0.539671,0.8882418739795686
20,original_0,0.8629402,0.8591899497487439,0.8822874371859296,0.764192190954774,0.8125829145728644,0.8203,0.8299782872200012,0.715652,0.505721,0.535218,0.8894484484195709
21,original_1,0.86247885,0.8646924623115578,0.8858417085427136,0.7752056934673368,0.8217537688442211,0.81,0.8248012065887451,0.718307,0.502165,0.533373,0.888561166524887
22,original_2,0.8541613,0.8393356783919599,0.868619095477387,0.7364279246231156,0.7902663316582913,0.8003,0.8413159251213074,0.722098,0.533375,0.585622,0.8869590163230896
23,original_3,0.8529859,0.8621597989949749,0.8841979899497487,0.7618261909547738,0.81191959798995,0.811,0.8096893429756165,0.717153,0.504446,0.529391,0.8902291226387025
24,original_4,0.8508275,0.8393613065326633,0.8692633165829146,0.7365405226130655,0.7889095477386936,0.782,0.8358962535858154,0.71701,0.528186,0.571644,0.8854976701736451
25,default_pdb70_new_0,0.87162256,0.8594115577889448,0.8818854271356783,0.7631989547738695,0.8123718592964825,0.824,0.8354363441467285,0.710052,0.499422,0.535937,0.8891998159885406
26,default_pdb70_new_1,0.8682521,0.8604527638190956,0.8834407035175881,0.7509847085427137,0.8039195979899498,0.8228,0.8228767514228821,0.713175,0.50435,0.534957,0.8876838159561157
27,default_pdb70_new_2,0.8673824,0.78948391959799,0.8079226130653266,0.6802784974874373,0.722889447236181,0.819,0.83736652135849,0.65326,0.495395,0.53129,0.8713456344604493
28,default_pdb70_new_3,0.8649416,0.859464824120603,0.8823,0.7674078592964824,0.8155175879396985,0.814,0.8336495757102966,0.713537,0.504312,0.534355,0.8881086730957032
29,default_pdb70_new_4,0.861607,0.8361125628140704,0.8660306532663317,0.7356122562814069,0.7884924623115578,0.798,0.8435875177383423,0.713547,0.527419,0.573785,0.8872383952140808
30,default_ptm_0,0.61824155,0.6150110552763819,0.6987080402010049,0.5412044974874373,0.5565527638190955,0.597,0.5316731333732605,0.547673,0.492872,0.524967,0.8251116609573363
