,index,model,score
0,0,deepmsa_q4JGI_4.pdb,0.889107
1,1,deepmsa_qMSA_hh3_3.pdb,0.888388
2,2,deepmsa_qMSA_hh3_2.pdb,0.888246
3,3,dhr_3.pdb,0.888067
4,4,ori_seq_temp_3.pdb,0.887732
5,5,deepmsa_q3JGI_4.pdb,0.887537
6,6,default_seq_temp_4.pdb,0.887529
7,7,def_notemp_drop_nos_4.pdb,0.887351
8,8,def_notemp_drop_nos_2.pdb,0.886802
9,9,dhr_1.pdb,0.886751
10,10,def_ptm_notemp_1.pdb,0.886393
11,11,def_ptm_notemp_4.pdb,0.886263
12,12,deepmsa_qMSA_jac_4.pdb,0.886162
13,13,deepmsa_q3JGI_hms_4.pdb,0.886126
14,14,def_ptm_notemp_0.pdb,0.885957
15,15,def_notemp_drop_s_0.pdb,0.885944
16,16,def_notemp_1.pdb,0.885895
17,17,original_1.pdb,0.885842
18,18,deepmsa_DeepJGI_2.pdb,0.885823
19,19,def_ptm_not_drop_nos_2.pdb,0.885772
20,20,deepmsa_qMSA_hh3_1.pdb,0.88567
21,21,def_ptm_not_drop_s_1.pdb,0.885619
22,22,deepmsa_qMSA_hms_2.pdb,0.885604
23,23,deepmsa_qMSA_hms_0.pdb,0.885599
24,24,deepmsa_q3JGI_hms_3.pdb,0.885377
25,25,deepmsa_q4JGI_hms_0.pdb,0.885319
26,26,deepmsa_qMSA_1.pdb,0.885188
27,27,def_ptm_not_drop_s_4.pdb,0.885187
28,28,deepmsa_DeepJGI_4.pdb,0.885186
29,29,def_notemp_3.pdb,0.885176
30,30,deepmsa_dMSA_2.pdb,0.885172
31,31,deepmsa_q3JGI_0.pdb,0.88508
32,32,deepmsa_q3JGI_hms_0.pdb,0.885054
33,33,def_notemp_drop_s_4.pdb,0.885031
34,34,deepmsa_dMSA_3.pdb,0.885011
35,35,deepmsa_DeepJGI_3.pdb,0.884956
36,36,ori_seq_temp_1.pdb,0.884951
37,37,deepmsa_qMSA_hhb_4.pdb,0.88494
38,38,deepmsa_dMSA_hms_4.pdb,0.88477
39,39,deepmsa_q3JGI_1.pdb,0.884752
40,40,deepmsa_q3JGI_3.pdb,0.884645
41,41,deepmsa_dMSA_jac_3.pdb,0.884498
42,42,def_ptm_notemp_3.pdb,0.884404
43,43,colabfold_web_1.pdb,0.884338
44,44,deepmsa_DeepJGI_hms_3.pdb,0.884333
45,45,deepmsa_qMSA_hms_1.pdb,0.884282
46,46,deepmsa_DeepJGI_hms_4.pdb,0.884271
47,47,original_3.pdb,0.884198
48,48,deepmsa_dMSA_jac_2.pdb,0.884179
