,model,tmscore
0,af3_jian_0,95.387
1,af3_jian_1,95.833
2,af3_jian_2,94.494
3,af3_jian_3,95.536
4,af3_jian_4,95.387
5,af3_jian_5,94.345
6,af3_jian_6,94.94
7,af3_jian_7,96.131
8,af3_jian_8,94.94
9,af3_jian_9,95.982
10,af3_pawan_0,95.982
11,af3_pawan_1,95.685
12,af3_pawan_2,95.833
13,af3_pawan_3,95.238
14,af3_pawan_4,94.643
15,af3_pawan_5,95.685
16,af3_pawan_6,96.131
17,af3_pawan_7,93.899
18,af3_pawan_8,95.536
19,af3_pawan_9,94.494
20,colabfold_web_0,94.792
21,colabfold_web_1,94.94
22,colabfold_web_2,94.792
23,colabfold_web_3,94.94
24,colabfold_web_4,94.792
25,colabfold_web_not_0,94.494
26,colabfold_web_not_1,94.345
27,colabfold_web_not_2,94.792
28,colabfold_web_not_3,94.94
29,colabfold_web_not_4,95.089
30,deepmsa_dMSA_0,92.113
31,deepmsa_dMSA_1,91.815
32,deepmsa_dMSA_2,91.22
33,deepmsa_dMSA_3,91.369
34,deepmsa_dMSA_4,91.071
35,deepmsa_dMSA_hhb_0,91.369
36,deepmsa_dMSA_hhb_1,91.22
37,deepmsa_dMSA_hhb_2,90.179
38,deepmsa_dMSA_hhb_3,89.881
39,deepmsa_dMSA_hhb_4,91.369
40,deepmsa_qMSA_0,91.22
41,deepmsa_qMSA_1,91.071
42,deepmsa_qMSA_2,91.22
43,deepmsa_qMSA_3,91.815
44,deepmsa_qMSA_4,91.071
45,deepmsa_qMSA_hhb_0,91.518
46,deepmsa_qMSA_hhb_1,91.22
47,deepmsa_qMSA_hhb_2,91.369
48,deepmsa_qMSA_hhb_3,91.518
49,deepmsa_qMSA_hhb_4,91.071
50,def_drop_nos_0,93.601
51,def_drop_nos_1,94.494
52,def_drop_nos_2,94.196
53,def_drop_nos_3,93.304
54,def_drop_nos_4,94.196
55,def_drop_s_0,93.899
56,def_drop_s_1,94.196
57,def_drop_s_2,94.196
58,def_drop_s_3,94.196
59,def_drop_s_4,94.196
60,def_esm_msa_0,94.048
61,def_esm_msa_1,94.345
62,def_esm_msa_2,95.685
63,def_esm_msa_3,95.833
64,def_esm_msa_4,95.685
65,def_esm_msa_ckpt5_0,93.899
66,def_esm_msa_ckpt5_1,91.369
67,def_esm_msa_ckpt5_2,94.643
68,def_esm_msa_ckpt5_3,90.923
69,def_esm_msa_ckpt5_4,91.518
70,def_notemp_0,96.131
71,def_notemp_1,95.833
72,def_notemp_2,93.899
73,def_notemp_3,95.685
74,def_notemp_4,95.982
75,def_notemp_drop_nos_0,95.982
76,def_notemp_drop_nos_1,94.792
77,def_notemp_drop_nos_2,94.792
78,def_notemp_drop_nos_3,96.28
79,def_notemp_drop_nos_4,94.643
80,def_notemp_drop_s_0,95.685
81,def_notemp_drop_s_1,95.685
82,def_notemp_drop_s_2,95.982
83,def_notemp_drop_s_3,96.429
84,def_notemp_drop_s_4,94.196
85,def_ptm_drop_nos_0,95.833
86,def_ptm_drop_nos_1,91.815
87,def_ptm_drop_nos_2,94.196
88,def_ptm_drop_nos_3,94.196
89,def_ptm_drop_nos_4,93.75
90,def_ptm_drop_s_0,94.643
91,def_ptm_drop_s_1,93.75
92,def_ptm_drop_s_2,94.196
93,def_ptm_drop_s_3,95.238
94,def_ptm_drop_s_4,94.048
95,def_ptm_not_drop_nos_0,96.28
96,def_ptm_not_drop_nos_1,96.28
97,def_ptm_not_drop_nos_2,95.685
98,def_ptm_not_drop_nos_3,95.238
99,def_ptm_not_drop_nos_4,95.982
100,def_ptm_not_drop_s_0,95.982
101,def_ptm_not_drop_s_1,96.429
102,def_ptm_not_drop_s_2,95.685
103,def_ptm_not_drop_s_3,95.685
104,def_ptm_not_drop_s_4,95.238
105,def_ptm_notemp_0,95.982
106,def_ptm_notemp_1,95.982
107,def_ptm_notemp_2,95.982
108,def_ptm_notemp_3,95.685
109,def_ptm_notemp_4,95.982
110,default_0,94.345
111,default_1,94.494
112,default_2,94.345
113,default_3,93.75
114,default_4,94.94
115,default_pdb70_new_0,96.28
116,default_pdb70_new_1,95.685
117,default_pdb70_new_2,95.685
118,default_pdb70_new_3,95.982
119,default_pdb70_new_4,92.113
120,default_ptm_0,93.899
121,default_ptm_1,94.196
122,default_ptm_2,93.899
123,default_ptm_3,93.899
124,default_ptm_4,94.196
125,default_seq_temp_0,96.28
126,default_seq_temp_1,96.28
127,default_seq_temp_2,96.429
128,default_seq_temp_3,96.131
129,default_seq_temp_4,96.429
130,dhr_0,91.22
131,dhr_1,92.857
132,dhr_2,93.155
133,dhr_3,92.857
134,dhr_4,93.155
135,ori_seq_temp_0,94.494
136,ori_seq_temp_1,91.815
137,ori_seq_temp_2,94.494
138,ori_seq_temp_3,95.238
139,ori_seq_temp_4,95.238
140,original_0,91.667
141,original_1,95.238
142,original_2,94.94
143,original_3,91.964
144,original_4,91.667
