,model,tmscore
0,af3_jian_0,0.9062
1,af3_jian_1,0.9008
2,af3_jian_2,0.8848
3,af3_jian_3,0.906
4,af3_jian_4,0.9044
5,af3_jian_5,0.9143
6,af3_jian_6,0.9277
7,af3_jian_7,0.9151
8,af3_jian_8,0.9136
9,af3_jian_9,0.905
10,af3_pawan_0,0.912
11,af3_pawan_1,0.9032
12,af3_pawan_2,0.9112
13,af3_pawan_3,0.9162
14,af3_pawan_4,0.9103
15,af3_pawan_5,0.9112
16,af3_pawan_6,0.9156
17,af3_pawan_7,0.912
18,af3_pawan_8,0.9162
19,af3_pawan_9,0.9146
20,colabfold_web_0,0.9106
21,colabfold_web_1,0.9014
22,colabfold_web_2,0.8939
23,colabfold_web_3,0.9007
24,colabfold_web_4,0.8381
25,colabfold_web_not_0,0.8924
26,colabfold_web_not_1,0.8266
27,colabfold_web_not_2,0.905
28,colabfold_web_not_3,0.9078
29,colabfold_web_not_4,0.832
30,deepmsa_DeepJGI_0,0.9058
31,deepmsa_DeepJGI_1,0.9047
32,deepmsa_DeepJGI_2,0.9087
33,deepmsa_DeepJGI_3,0.9072
34,deepmsa_DeepJGI_4,0.9072
35,deepmsa_DeepJGI_hms_0,0.9102
36,deepmsa_DeepJGI_hms_1,0.9025
37,deepmsa_DeepJGI_hms_2,0.9062
38,deepmsa_DeepJGI_hms_3,0.9073
39,deepmsa_DeepJGI_hms_4,0.9092
40,deepmsa_dMSA_0,0.9037
41,deepmsa_dMSA_1,0.8947
42,deepmsa_dMSA_2,0.9014
43,deepmsa_dMSA_3,0.91
44,deepmsa_dMSA_4,0.8574
45,deepmsa_dMSA_hhb_0,0.9016
46,deepmsa_dMSA_hhb_1,0.9022
47,deepmsa_dMSA_hhb_2,0.9105
48,deepmsa_dMSA_hhb_3,0.8431
49,deepmsa_dMSA_hhb_4,0.8406
50,deepmsa_dMSA_hms_0,0.906
51,deepmsa_dMSA_hms_1,0.8944
52,deepmsa_dMSA_hms_2,0.8945
53,deepmsa_dMSA_hms_3,0.8271
54,deepmsa_dMSA_hms_4,0.821
55,deepmsa_dMSA_jac_0,0.9044
56,deepmsa_dMSA_jac_1,0.8993
57,deepmsa_dMSA_jac_2,0.8412
58,deepmsa_dMSA_jac_3,0.8379
59,deepmsa_dMSA_jac_4,0.8202
60,deepmsa_q3JGI_0,0.9048
61,deepmsa_q3JGI_1,0.909
62,deepmsa_q3JGI_2,0.9038
63,deepmsa_q3JGI_3,0.9022
64,deepmsa_q3JGI_4,0.9025
65,deepmsa_q3JGI_hms_0,0.9052
66,deepmsa_q3JGI_hms_1,0.9064
67,deepmsa_q3JGI_hms_2,0.9089
68,deepmsa_q3JGI_hms_3,0.9068
69,deepmsa_q3JGI_hms_4,0.908
70,deepmsa_q4JGI_0,0.9044
71,deepmsa_q4JGI_1,0.9071
72,deepmsa_q4JGI_2,0.9024
73,deepmsa_q4JGI_3,0.9016
74,deepmsa_q4JGI_4,0.9044
75,deepmsa_q4JGI_hms_0,0.9064
76,deepmsa_q4JGI_hms_1,0.9043
77,deepmsa_q4JGI_hms_2,0.9022
78,deepmsa_q4JGI_hms_3,0.9073
79,deepmsa_q4JGI_hms_4,0.9058
80,deepmsa_qMSA_0,0.9018
81,deepmsa_qMSA_1,0.8368
82,deepmsa_qMSA_2,0.8983
83,deepmsa_qMSA_3,0.829
84,deepmsa_qMSA_4,0.8372
85,deepmsa_qMSA_hh3_0,0.9079
86,deepmsa_qMSA_hh3_1,0.9113
87,deepmsa_qMSA_hh3_2,0.9086
88,deepmsa_qMSA_hh3_3,0.8944
89,deepmsa_qMSA_hh3_4,0.8304
90,deepmsa_qMSA_hhb_0,0.825
91,deepmsa_qMSA_hhb_1,0.8763
92,deepmsa_qMSA_hhb_2,0.8695
