,index,model,score
0,0,default_pdb70_new_1.pdb,0.985811
1,1,def_notemp_drop_nos_4.pdb,0.985749
2,2,ori_seq_temp_3.pdb,0.985715
3,3,def_notemp_drop_s_1.pdb,0.985713
4,4,default_seq_temp_4.pdb,0.985681
5,5,def_notemp_4.pdb,0.985678
6,6,ori_seq_temp_1.pdb,0.985657
7,7,original_4.pdb,0.985631
8,8,ori_seq_temp_2.pdb,0.98561
9,9,colabfold_web_4.pdb,0.985606
10,10,default_pdb70_new_0.pdb,0.985551
11,11,ori_seq_temp_4.pdb,0.985546
12,12,default_pdb70_new_2.pdb,0.985535
13,13,def_notemp_drop_nos_2.pdb,0.985533
14,14,original_0.pdb,0.985497
15,15,def_notemp_2.pdb,0.985446
16,16,def_esm_msa_0.pdb,0.985427
17,17,def_notemp_drop_nos_1.pdb,0.985394
18,18,original_1.pdb,0.985393
19,19,original_2.pdb,0.985375
20,20,default_seq_temp_3.pdb,0.985366
21,21,def_notemp_3.pdb,0.985342
22,22,default_seq_temp_0.pdb,0.985312
23,23,colabfold_web_not_2.pdb,0.985244
24,24,colabfold_web_not_1.pdb,0.985224
25,25,default_seq_temp_2.pdb,0.985198
26,26,default_pdb70_new_4.pdb,0.985159
27,27,colabfold_web_not_3.pdb,0.985153
28,28,def_notemp_1.pdb,0.985147
29,29,colabfold_web_not_0.pdb,0.985128
30,30,def_notemp_0.pdb,0.98511
31,31,ori_seq_temp_0.pdb,0.985081
32,32,def_notemp_drop_nos_0.pdb,0.985073
33,33,original_3.pdb,0.985069
34,34,def_notemp_drop_nos_3.pdb,0.985036
35,35,colabfold_web_3.pdb,0.985031
36,36,default_seq_temp_1.pdb,0.984972
37,37,colabfold_web_2.pdb,0.984969
38,38,def_notemp_drop_s_0.pdb,0.984961
39,39,def_esm_msa_4.pdb,0.984931
40,40,colabfold_web_not_4.pdb,0.984702
41,41,af3_pawan_1.pdb,0.984678
42,42,af3_pawan_8.pdb,0.984609
43,43,def_esm_msa_3.pdb,0.984601
44,44,def_drop_s_0.pdb,0.984592
45,45,af3_jian_2.pdb,0.984551
46,46,dhr_4.pdb,0.984517
47,47,default_3.pdb,0.984375
48,48,def_notemp_drop_s_4.pdb,0.984355
49,49,def_drop_nos_1.pdb,0.984306
50,50,def_notemp_drop_s_3.pdb,0.98423
51,51,def_drop_s_4.pdb,0.984222
52,52,colabfold_web_1.pdb,0.984222
53,53,def_drop_s_3.pdb,0.98418
54,54,def_drop_s_2.pdb,0.984119
55,55,def_esm_msa_2.pdb,0.984087
56,56,colabfold_web_0.pdb,0.984082
57,57,dhr_2.pdb,0.984081
58,58,default_4.pdb,0.983776
59,59,af3_jian_1.pdb,0.983698
60,60,def_drop_nos_2.pdb,0.983681
61,61,af3_jian_0.pdb,0.983598
62,62,af3_jian_7.pdb,0.983524
63,63,def_ptm_notemp_3.pdb,0.983418
64,64,default_0.pdb,0.983399
65,65,af3_jian_9.pdb,0.983379
66,66,def_ptm_not_drop_s_2.pdb,0.983357
67,67,def_esm_msa_ckpt5_0.pdb,0.983349
68,68,af3_jian_3.pdb,0.983275
69,69,dhr_0.pdb,0.983244
70,70,def_esm_msa_ckpt5_3.pdb,0.983239
71,71,def_ptm_notemp_1.pdb,0.983156
72,72,default_1.pdb,0.983131
73,73,def_ptm_notemp_0.pdb,0.983088
74,74,def_ptm_drop_nos_0.pdb,0.983035
75,75,def_drop_s_1.pdb,0.982968
76,76,default_ptm_1.pdb,0.982964
77,77,af3_jian_4.pdb,0.982961
78,78,def_ptm_drop_nos_3.pdb,0.982914
79,79,def_drop_nos_3.pdb,0.982671
80,80,def_drop_nos_4.pdb,0.982576
81,81,af3_jian_6.pdb,0.982558
82,82,def_ptm_drop_s_0.pdb,0.982385
83,83,af3_pawan_5.pdb,0.982266
84,84,dhr_1.pdb,0.982242
85,85,af3_pawan_0.pdb,0.982097
