,model,af_plddt_avg,pairwise_gdt,pairwise_tmscore,pairwise_cad_score,pairwise_lddt,enqa,gcpnet_ema,deeprank3_cluster,deeprank3_singleqa,deeprank3_singleqa_lite,gate
0,af3_jian_0,0.898865,0.8982170854271357,0.9011361809045226,0.7767119648241205,0.8441507537688442,0.8184,0.8365910649299622,0.853461499600437,0.741502,0.774944,0.8358362257480622
1,af3_jian_1,0.8858749,0.9013025125628142,0.9002055276381908,0.7827243417085428,0.8510904522613066,0.7964,0.7973281145095825,0.866617218859363,0.75939,0.773617,0.8264092457294463
2,af3_jian_2,0.8899559,0.890170351758794,0.8877090452261307,0.7633919195979899,0.8333819095477388,0.8027,0.8088418841362,0.849640393500445,0.770322,0.776325,0.8320651280879975
3,af3_jian_3,0.8767733,0.9168688442211056,0.918086432160804,0.7934968844221106,0.8522613065326634,0.803,0.8296838402748108,0.922172519266274,0.784992,0.789796,0.8323866605758667
4,af3_jian_4,0.88394,0.9163055276381911,0.9151361809045224,0.7947227939698494,0.8533969849246231,0.804,0.8215475678443909,0.927989142914879,0.795677,0.787316,0.8270245766639709
5,af3_jian_5,0.88459,0.9256407035175875,0.9277115577889447,0.8041267035175879,0.867924623115578,0.808,0.8203877806663513,0.952059355739467,0.766307,0.796198,0.8255965578556062
6,af3_jian_6,0.88659996,0.9020015075376886,0.900413567839196,0.7728088241206029,0.8429648241206031,0.8086,0.8147029876708984,0.874174466560729,0.780645,0.784765,0.8249389612674713
7,af3_jian_7,0.8865275,0.9212206030150754,0.9226829145728643,0.7969879447236181,0.8548592964824121,0.8096,0.8079965114593506,0.93750287042225,0.777059,0.805421,0.8269373834133148
8,af3_jian_8,0.88915664,0.9188512562814071,0.9201316582914572,0.8045743517587939,0.8639547738693467,0.812,0.840660035610199,0.938676299038294,0.801053,0.794516,0.8236156356334685
9,af3_jian_9,0.87744004,0.9023276381909549,0.9034572864321608,0.7719818592964824,0.8371859296482413,0.8096,0.7987717986106873,0.890026086397413,0.780333,0.773103,0.8270048379898072
10,af3_pawan_0,0.8923066,0.918605527638191,0.9205075376884422,0.8120542412060301,0.8717788944723619,0.8145,0.8404778242111206,0.933181162681755,0.786169,0.800845,0.8257521986961365
11,af3_pawan_1,0.88787335,0.9036592964824123,0.9025206030150754,0.777888150753769,0.8464020100502514,0.803,0.8207625150680542,0.889745933185755,0.766678,0.78887,0.8273494946956635
12,af3_pawan_2,0.8879067,0.9040939698492464,0.905386432160804,0.7823747386934674,0.8477839195979899,0.803,0.8001924753189087,0.887915751958776,0.768221,0.780127,0.8307505941390991
13,af3_pawan_3,0.89156073,0.9204527638190955,0.9223909547738693,0.8069942261306531,0.8675075376884421,0.814,0.8415108919143677,0.941243604699226,0.785786,0.795968,0.8217694664001464
14,af3_pawan_4,0.8866233,0.9194402010050253,0.9195643216080401,0.8059594070351759,0.8647386934673367,0.8047,0.830328106880188,0.945565312439721,0.783942,0.792731,0.8214017808437347
15,af3_pawan_5,0.8849566,0.919493969849246,0.922705025125628,0.7947281407035175,0.8606683417085428,0.808,0.8065720200538635,0.948998337451432,0.78342,0.788305,0.8295332729816437
16,af3_pawan_6,0.88291496,0.922948743718593,0.9245040201005024,0.8097567688442211,0.8674623115577891,0.8115,0.8287792205810547,0.926827195987839,0.776518,0.7824,0.8296766102313995
17,af3_pawan_7,0.88367337,0.9225603015075377,0.9204452261306532,0.804434296482412,0.8639497487437185,0.7993,0.8181883692741394,0.954798886735434,0.802896,0.792692,0.8301024794578552
18,af3_pawan_8,0.88391495,0.9245783919597989,0.9273402010050252,0.8054475778894473,0.867894472361809,0.8105,0.8253173232078552,0.939404238121044,0.775657,0.7892,0.8314284145832062
19,af3_pawan_9,0.88486505,0.9219834170854271,0.9247170854271355,0.8045678291457287,0.8658190954773869,0.8086,0.8071957230567932,0.956479806005382,0.801076,0.793798,0.8313982450962067
20,colabfold_web_0,0.8618809,0.9132552763819094,0.9178150753768846,0.8193555226130653,0.8747185929648242,0.8003,0.7912642955780029,0.935808173125499,0.804693,0.811002,0.8259133076667787
21,colabfold_web_1,0.85661584,0.9264326633165828,0.928505527638191,0.8280516934673366,0.88164824120603,0.7764,0.8006398677825928,0.965571007357466,0.784125,0.784321,0.8284224796295167
22,colabfold_web_2,0.8560067,0.9239145728643215,0.9266020100502512,0.8134267839195981,0.8717989949748742,0.79,0.7903876900672913,0.939953062855358,0.776224,0.779046,0.8337823677062989
23,colabfold_web_3,0.8549725,0.9269989949748741,0.9291507537688443,0.8284538391959799,0.8819296482412058,0.7764,0.7989696860313416,0.953926278371253,0.761123,0.781845,0.8245266532897949
24,colabfold_web_4,0.83636004,0.8750517587939697,0.8765195979899498,0.7769026633165829,0.8337487437185928,0.742,0.7671696543693542,0.815225178884714,0.818163,0.805299,0.8125727427005769
25,colabfold_web_not_0,0.8802608,0.9198457286432159,0.9222954773869348,0.8054543567839195,0.871819095477387,0.809,0.7919994592666626,0.953407306028346,0.815395,0.787121,0.8294001626968383
26,colabfold_web_not_1,0.8642358,0.8618874371859296,0.8636206030150754,0.7486227738693465,0.8056733668341708,0.762,0.7828460335731506,0.749214652472237,0.763601,0.76185,0.8046233212947845
27,colabfold_web_not_2,0.8543866,0.9155391959798994,0.9209547738693467,0.818411432160804,0.875608040201005,0.7803,0.7934993505477905,0.925118720664284,0.811233,0.786617,0.8318803083896636
28,colabfold_web_not_3,0.8538025,0.9258587939698492,0.9289969849246232,0.8255474070351758,0.8855778894472363,0.7744,0.7730079889297485,0.965274779781205,0.818007,0.79781,0.8318453252315521
29,colabfold_web_not_4,0.8446375,0.8645427135678393,0.8687949748743719,0.7507704321608039,0.8057185929648243,0.7417,0.7720319032669067,0.772561518889675,0.779251,0.768239,0.8026115381717682
30,deepmsa_DeepJGI_0,0.85450834,0.9259231155778893,0.928365326633166,0.8159634773869346,0.878316582914573,0.804,0.7926234602928162,0.965226556687395,0.785698,0.793197,0.8272086262702942
