,model,plddt_avg,af3_ranking_score
0,deepmsa_dMSA_hhb_0.pdb,96.03307118709918,-1
1,deepmsa_dMSA_hhb_1.pdb,95.9870087627035,-1
2,deepmsa_dMSA_hhb_2.pdb,95.88251789506512,-1
3,af3_jian_1.pdb,95.86148834228516,0.9
4,af3_jian_2.pdb,95.83589935302734,0.9
5,deepmsa_dMSA_hhb_3.pdb,95.82786239639616,-1
6,af3_jian_4.pdb,95.82344818115234,0.9
7,af3_jian_8.pdb,95.82291412353516,0.9
8,af3_jian_9.pdb,95.81922912597656,0.9
9,deepmsa_dMSA_hhb_4.pdb,95.81824992785477,-1
10,af3_pawan_8.pdb,95.7966079711914,0.9
11,af3_jian_7.pdb,95.7850570678711,0.9
12,af3_pawan_9.pdb,95.77994537353516,0.9
13,af3_pawan_4.pdb,95.77518463134766,0.9
14,af3_jian_6.pdb,95.76327514648438,0.9
15,af3_pawan_3.pdb,95.75862884521484,0.9
16,af3_pawan_6.pdb,95.75553131103516,0.9
17,af3_pawan_2.pdb,95.74958801269531,0.9
18,af3_jian_3.pdb,95.73172760009766,0.9
19,af3_pawan_5.pdb,95.71387481689453,0.9
20,af3_pawan_1.pdb,95.71041107177734,0.9
21,af3_pawan_0.pdb,95.70506286621094,0.9
22,af3_pawan_7.pdb,95.70137023925781,0.9
23,af3_jian_5.pdb,95.66862487792969,0.9
24,af3_jian_0.pdb,95.65887451171875,0.9
25,colabfold_web_not_0.pdb,95.43323801119261,-1
26,colabfold_web_not_1.pdb,95.36397342062061,-1
27,colabfold_web_not_2.pdb,95.32847058080495,-1
28,colabfold_web_not_3.pdb,95.31066362894927,-1
29,colabfold_web_not_4.pdb,95.24334471832782,-1
30,colabfold_web_0.pdb,95.24038509525263,-1
31,colabfold_web_1.pdb,95.23688529342057,-1
32,colabfold_web_2.pdb,95.21290707531509,-1
33,colabfold_web_3.pdb,95.20120167743009,-1
34,ori_seq_temp_0.pdb,95.19442106204178,-1
35,colabfold_web_4.pdb,95.19132478706017,-1
36,ori_seq_temp_1.pdb,94.95081920953206,-1
37,ori_seq_temp_2.pdb,94.94937003866484,-1
38,original_0.pdb,94.93752028325153,-1
39,deepmsa_DeepJGI_hms_0.pdb,94.91552443079287,-1
40,original_1.pdb,94.91099750994536,-1
41,deepmsa_DeepJGI_hms_1.pdb,94.89400964971648,-1
42,ori_seq_temp_3.pdb,94.8856325188751,-1
43,ori_seq_temp_4.pdb,94.86542196776183,-1
44,deepmsa_DeepJGI_0.pdb,94.82867086724494,-1
45,original_2.pdb,94.82866286469091,-1
46,deepmsa_DeepJGI_1.pdb,94.8283221780838,-1
47,deepmsa_dMSA_jac_0.pdb,94.8258166288661,-1
48,original_3.pdb,94.81563644071035,-1
49,original_4.pdb,94.80755031634874,-1
50,deepmsa_DeepJGI_2.pdb,94.78881287427038,-1
51,deepmsa_dMSA_hms_0.pdb,94.78379533497343,-1
52,deepmsa_q3JGI_0.pdb,94.7812869192678,-1
53,deepmsa_DeepJGI_3.pdb,94.74392712291467,-1
54,deepmsa_dMSA_jac_1.pdb,94.73845340721445,-1
55,deepmsa_q4JGI_0.pdb,94.73001654650191,-1
56,deepmsa_dMSA_0.pdb,94.72480430152828,-1
57,deepmsa_DeepJGI_4.pdb,94.70323906335177,-1
58,deepmsa_dMSA_1.pdb,94.68787090866093,-1
59,deepmsa_DeepJGI_hms_2.pdb,94.68371851511795,-1
60,deepmsa_DeepJGI_hms_3.pdb,94.67840657791749,-1
61,deepmsa_dMSA_jac_2.pdb,94.67289967088888,-1
62,deepmsa_DeepJGI_hms_4.pdb,94.65973954399063,-1
63,deepmsa_dMSA_jac_3.pdb,94.64076675456612,-1
64,deepmsa_dMSA_2.pdb,94.63497211012604,-1
65,def_notemp_drop_nos_0.pdb,94.63008525447145,-1
66,deepmsa_dMSA_jac_4.pdb,94.603962077018,-1
67,def_notemp_drop_s_0.pdb,94.58885315186899,-1
68,deepmsa_dMSA_3.pdb,94.57263512139373,-1
69,deepmsa_q4JGI_1.pdb,94.56706344566349,-1
70,deepmsa_dMSA_hms_1.pdb,94.55740871608735,-1
71,def_drop_nos_0.pdb,94.55728824579407,-1
72,deepmsa_qMSA_jac_0.pdb,94.52079140217207,-1
73,deepmsa_qMSA_0.pdb,94.51007442585099,-1
74,deepmsa_q3JGI_1.pdb,94.50083177956041,-1
75,deepmsa_dMSA_4.pdb,94.49851613977474,-1
76,def_notemp_drop_nos_1.pdb,94.47940021302963,-1
77,deepmsa_q3JGI_2.pdb,94.47824384442274,-1
78,def_esm_msa_0.pdb,94.47406979048269,-1
